id,1000G population code,population,1000G superpopulation code,latitude,longitude,GTM axis 1,GTM axis 2,t-SNE axis 1,t-SNE axis 2,Principal component 1,Principal component 2
HG00368,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.997916647427863568e-01,1.000000000000000222e+00,-4.964820098876953125e+01,2.825563812255859375e+01,-1.602376860265917813e+01,3.585044497972664601e+01
HG00369,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.661881531433423875e-01,9.999999999999986677e-01,-4.837396240234375000e+01,3.221289825439453125e+01,-1.539248536694209513e+01,3.541688870220131236e+01
HG00371,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.176714107898307216e-01,9.999999999998899769e-01,-4.804990386962890625e+01,3.277313613891601562e+01,-1.462125931144331226e+01,3.695423849915349024e+01
HG00372,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.715026066129764049e-01,9.999999999997845057e-01,-4.733282089233398438e+01,3.453562164306640625e+01,-1.619190115884378400e+01,3.544087828131210927e+01
HG00373,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.609621452542308484e-01,9.999999999999781286e-01,-4.489771270751953125e+01,3.003124046325683594e+01,-1.585458596114390950e+01,3.713760515479867053e+01
HG00375,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.692951221706843645e-01,9.999999999999589217e-01,-5.016807174682617188e+01,3.055011940002441406e+01,-1.603751878094427497e+01,3.662245796185404600e+01
HG00376,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.643325119434650539e-01,9.999999999999910072e-01,-4.589069366455078125e+01,3.464706039428710938e+01,-1.702021217417653887e+01,4.053172662069965071e+01
HG00378,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.610569268657177533e-01,9.999999999994175770e-01,-4.971889114379882812e+01,3.321984481811523438e+01,-1.675313330902580233e+01,3.626430213377352629e+01
HG00379,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.672922910918703376e-01,9.999999999999391598e-01,-4.739407730102539062e+01,3.597340393066406250e+01,-1.528046627323268680e+01,3.730809335214023292e+01
HG00380,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.333168137850496482e-01,9.999999999450229771e-01,-4.473291015625000000e+01,3.708069229125976562e+01,-1.413363715063157500e+01,4.115658063436143266e+01
HG00381,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.615494392728195505e-01,9.999999999999924505e-01,-4.806143188476562500e+01,3.076964569091796875e+01,-1.742053189610670572e+01,3.703127577727359210e+01
HG00382,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.900862994236074854e-01,9.999999999999736877e-01,-4.928371429443359375e+01,3.157542037963867188e+01,-1.592967733448117151e+01,3.461884409698102161e+01
HG00383,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.999935148563753318e-01,1.000000000000000000e+00,-5.025414276123046875e+01,2.837161064147949219e+01,-1.761578721791158131e+01,3.297928369612861133e+01
HG00384,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.472189083352318351e-01,9.999999999924540361e-01,-4.424217224121093750e+01,3.432731628417968750e+01,-1.664495022429398219e+01,4.020626782987555714e+01
HG01334,GBR,British in England and Scotland,EUR,55.3780,-3.43597,-4.668461667565095841e-01,9.997429597885998387e-01,-2.622499084472656250e+01,6.435075378417968750e+01,-1.447335194124324609e+01,4.365448307864648569e+01
HG01500,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,2.809973310729298457e-01,9.462338725849076537e-01,-1.016799569129943848e+00,4.505309295654296875e+01,-1.023239644803599191e+01,3.968485370633896281e+01
HG01501,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,-9.117359099999623739e-02,9.472528646720186352e-01,-2.489578962326049805e+00,5.070309066772460938e+01,-1.207219650332799965e+01,4.013954689600114278e+01
HG01503,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,1.361901153940396902e-01,9.858242867723399083e-01,1.369453370571136475e-01,4.750252532958984375e+01,-1.095866213647310516e+01,4.170866983221160496e+01
HG01504,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,-6.272248429530649649e-02,9.068069425004101625e-01,1.283677768707275391e+01,4.920937728881835938e+01,-1.299113170668777428e+01,4.207681460910189486e+01
HG01506,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,7.144552474223232752e-02,9.157841062854122915e-01,4.723392963409423828e+00,4.518946075439453125e+01,-1.185566539854754886e+01,4.193557515015235992e+01
HG01507,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,9.226212226574664887e-02,9.777556092287785772e-01,2.781897187232971191e-01,4.779153823852539062e+01,-1.103763365672570096e+01,4.309806329149581927e+01
HG01509,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,1.002843423727259736e-01,9.555710064308290397e-01,5.584012508392333984e+00,4.319910049438476562e+01,-1.049711094374621645e+01,4.164166895389143974e+01
HG01510,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,5.128405815682682972e-02,9.561714697763348259e-01,1.176108002662658691e+00,4.847696304321289062e+01,-1.297840368788644305e+01,4.202971391297466397e+01
HG01512,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,-3.230159695417728766e-02,9.495008770433680523e-01,1.856804728507995605e+00,4.994614028930664062e+01,-1.406091260181801417e+01,4.470423470758593254e+01
HG01513,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,1.391237905441308209e-01,9.737332855578237911e-01,2.406041860580444336e+00,4.407693862915039062e+01,-1.273598089951361167e+01,4.309524860923271916e+01
HG01515,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,1.900019525591063740e-02,9.694495923998454057e-01,-1.298771858215332031e+00,4.949612045288085938e+01,-1.363028873171826127e+01,4.256414381599081764e+01
HG01516,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,4.117081918170777122e-02,9.812841180070317471e-01,1.621650338172912598e+00,4.808340835571289062e+01,-1.348998213703194260e+01,4.223433515649261949e+01
HG01518,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,2.996742052027052683e-01,9.992874316156247216e-01,-3.746144533157348633e+00,4.472829055786132812e+01,-1.424921309552843596e+01,4.468749879758779997e+01
HG01519,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,3.405805730733720699e-02,9.784251590415142807e-01,-9.385406970977783203e-01,5.062368392944335938e+01,-1.252239133656824244e+01,4.265307989544143652e+01
HG01521,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,3.698875778334637654e-01,9.999244085468679266e-01,-4.746299266815185547e+00,4.450260162353515625e+01,-1.431495736400248475e+01,4.260630515630997905e+01
HG01522,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,3.000149568249123599e-01,9.980697459095789759e-01,-2.977812051773071289e+00,4.454789733886718750e+01,-1.368123973903236212e+01,4.339606368387890001e+01
HG01524,IBS,Iberian Population in Spain,EUR,40.4637,-3.7492,1.687529354267867099e-01,9.912125637838254955e-01,2.162397623062133789e+00,4.406119537353515625e+01,-1.178112586036994180e+01,4.140817114387371589e+01
